GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
Id,Id2,Geography,Total; Estimate; All households,Total; Margin of Error; All households,Mean income (dollars); Estimate; All households,Mean income (dollars); Margin of Error; All households,Total; Estimate; All households - With earnings,Total; Margin of Error; All households - With earnings,Mean income (dollars); Estimate; All households - With earnings,Mean income (dollars); Margin of Error; All households - With earnings,"Total; Estimate; All households - With interest, dividends, or net rental income","Total; Margin of Error; All households - With interest, dividends, or net rental income","Mean income (dollars); Estimate; All households - With interest, dividends, or net rental income","Mean income (dollars); Margin of Error; All households - With interest, dividends, or net rental income",Total; Estimate; All households - With Social Security income,Total; Margin of Error; All households - With Social Security income,Mean income (dollars); Estimate; All households - With Social Security income,Mean income (dollars); Margin of Error; All households - With Social Security income,Total; Estimate; All households - With Supplemental Security Income (SSI),Total; Margin of Error; All households - With Supplemental Security Income (SSI),Mean income (dollars); Estimate; All households - With Supplemental Security Income (SSI),Mean income (dollars); Margin of Error; All households - With Supplemental Security Income (SSI),Total; Estimate; All households - With cash public assistance income,Total; Margin of Error; All households - With cash public assistance income,Mean income (dollars); Estimate; All households - With cash public assistance income,Mean income (dollars); Margin of Error; All households - With cash public assistance income,Total; Estimate; All households - With retirement income,Total; Margin of Error; All households - With retirement income,Mean income (dollars); Estimate; All households - With retirement income,Mean income (dollars); Margin of Error; All households - With retirement income,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers,Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker,"Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, other","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked","Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other","Mean income (dollars); Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, other",Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Asian,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race,Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Mean income (dollars); Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Mean income (dollars); Estimate; Hispanic or Latino origin (of any race),Mean income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Mean income (dollars); Estimate; White alone, not Hispanic or Latino","Mean income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Household income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Household income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Family income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Family income in the past 12 months,Total; Estimate; PERCENT ALLOCATED - Individual income in the past 12 months,Total; Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months,Mean income (dollars); Estimate; PERCENT ALLOCATED - Individual income in the past 12 months,Mean income (dollars); Margin of Error; PERCENT ALLOCATED - Individual income in the past 12 months
0400000US01,01,Alabama,1852518,12189,64632,778,71.8,0.5,67366,961,16.1,0.3,16551,1649,35.7,0.5,18079,172,6.9,0.3,9253,227,1.6,0.1,2510,290,21.2,0.3,24199,882,1208362,12930,78413,1195,19.2,0.5,42012,1559,35.5,0.8,65690,2485,28.5,0.6,108712,2017,8.7,0.5,75190,4879,6.3,0.3,124202,3678,1.8,0.2,93495,5765,4863300,*****,25810,318,68.2,0.1,29115,420,26.8,0.2,18467,518,0.5,0.1,23004,2829,1.3,0.1,30959,4115,0.0,0.1,28028,7704,1.4,0.1,14182,2654,1.7,0.1,15539,1811,4.1,0.1,14120,1048,65.7,0.1,29671,441,37.8,(X),(X),(X),38.2,(X),(X),(X),30.4,(X),(X),(X)
0400000US02,02,Alaska,248468,2841,93312,2396,86.0,0.9,88274,2590,43.3,1.5,10082,1393,22.4,0.9,17715,664,4.0,0.5,9789,822,5.9,0.7,3636,488,19.4,0.9,29775,2228,164102,4083,103554,2617,9.3,0.8,55495,5670,30.7,1.7,81688,5325,36.0,1.7,122548,4368,10.3,1.1,91596,6215,10.5,1.2,151803,11720,3.2,0.7,119486,11363,741894,*****,34187,844,64.4,0.4,41061,1158,3.2,0.3,32250,7032,14.6,0.5,19076,1584,6.1,0.4,26535,2619,1.3,0.1,18188,3376,1.7,0.4,20258,4333,8.6,0.7,19775,1557,6.9,0.1,21203,2920,61.0,0.1,41924,1207,31.2,(X),(X),(X),32.7,(X),(X),(X),25.8,(X),(X),(X)
0400000US04,04,Arizona,2519052,11479,74053,837,74.3,0.3,74856,960,20.2,0.4,22807,1471,33.8,0.3,19721,198,4.7,0.2,10029,277,1.7,0.1,2516,231,20.6,0.3,25414,506,1648739,12489,85227,1130,19.2,0.5,57343,1992,34.3,0.6,68656,1581,26.3,0.5,116893,2453,10.2,0.4,75009,3571,7.0,0.3,135084,6553,3.1,0.2,94695,4510,6931071,*****,27997,288,75.8,0.3,30943,370,4.3,0.1,20952,969,4.4,0.1,13878,664,3.2,0.1,33497,1872,0.2,0.1,21810,5956,8.5,0.3,15089,584,3.6,0.2,17558,1703,30.9,*****,16406,333,55.3,0.1,36002,472,37.1,(X),(X),(X),38.5,(X),(X),(X),30.5,(X),(X),(X)
0400000US05,05,Arkansas,1142718,7341,61167,929,72.7,0.6,63963,1131,16.7,0.5,15386,1895,36.3,0.6,17618,224,6.7,0.4,8968,317,1.8,0.2,2262,226,18.3,0.5,19812,586,747917,9249,73091,1098,18.1,0.6,40506,1798,35.2,0.9,58832,2014,30.6,0.8,100459,2339,8.6,0.6,67892,2907,6.1,0.4,117044,5017,1.4,0.2,92771,18507,2988248,*****,24264,375,76.6,0.2,26543,412,15.5,0.2,16931,944,0.6,0.1,19618,6268,1.4,0.1,31336,6422,0.3,0.1,8840,1350,2.9,0.2,12294,1071,2.6,0.2,13350,1778,7.2,0.1,12540,759,72.8,0.1,27221,424,35.1,(X),(X),(X),36.0,(X),(X),(X),28.6,(X),(X),(X)
0400000US06,06,California,12944178,15703,96961,419,80.5,0.1,97883,454,22.0,0.2,26629,614,27.6,0.1,18170,82,6.4,0.1,9820,119,3.5,0.1,4308,104,16.1,0.1,31722,419,8887761,26268,108073,571,12.8,0.1,56941,946,33.0,0.3,86016,1040,28.5,0.3,151198,1276,11.6,0.2,89463,1321,9.0,0.1,148666,1856,5.0,0.1,109018,1777,39250017,*****,33389,138,59.7,0.2,37847,231,5.8,0.1,26848,497,0.7,0.1,21486,993,14.3,0.1,38529,430,0.4,0.1,25622,1444,14.4,0.2,16936,231,4.8,0.1,22259,631,38.9,*****,18393,163,37.5,0.1,48642,296,36.0,(X),(X),(X),36.6,(X),(X),(X),28.2,(X),(X),(X)
0400000US08,08,Colorado,2108992,7767,88246,926,82.1,0.3,87253,973,24.1,0.4,20905,1530,25.4,0.3,18379,214,3.5,0.2,9702,350,2.0,0.1,3195,284,16.9,0.3,30046,910,1347936,10110,104274,1291,11.7,0.3,63080,3473,30.9,0.6,84270,2592,37.6,0.6,128571,2100,9.0,0.4,88898,3534,8.2,0.3,142285,3446,2.6,0.2,109308,6621,5540545,*****,34542,325,84.0,0.2,36641,386,4.2,0.1,24243,1341,1.0,0.1,20192,1938,3.2,0.1,32625,2346,0.2,0.1,22547,7241,4.1,0.2,19637,945,3.3,0.2,19710,1212,21.3,*****,19073,437,68.5,0.1,40565,459,31.9,(X),(X),(X),32.0,(X),(X),(X),25.9,(X),(X),(X)
0400000US09,09,Connecticut,1357269,7141,105255,1275,79.4,0.4,107472,1407,26.3,0.5,22931,1699,31.0,0.4,20132,276,4.8,0.3,10171,463,3.9,0.3,3649,293,19.0,0.4,29569,1090,880600,11466,127843,2108,12.6,0.5,61934,2996,29.8,0.7,106190,4104,33.9,0.7,165307,3517,10.6,0.6,103725,4493,10.0,0.5,173776,5950,3.2,0.3,128124,11764,3576452,*****,41087,491,76.7,0.3,45980,587,10.6,0.2,23606,898,0.3,0.1,19050,3624,4.5,0.1,41913,2934,0.0,0.1,46708,20145,4.8,0.3,17974,1084,3.1,0.2,16321,1780,15.7,*****,20564,1067,67.4,0.1,49110,629,35.0,(X),(X),(X),35.9,(X),(X),(X),28.5,(X),(X),(X)
0400000US10,10,Delaware,351085,3936,81349,1980,75.9,0.9,82625,2436,20.4,0.9,16094,2335,34.1,0.8,20517,450,4.5,0.6,10530,901,2.4,0.4,2192,518,23.7,0.8,28616,2363,232433,5605,94643,2557,17.2,1.0,58344,5778,32.5,1.3,71051,3745,30.4,1.4,127029,5496,9.4,0.9,84646,7745,7.7,0.8,145466,9084,2.8,0.6,132564,18510,952065,*****,31712,745,69.2,0.5,35127,833,22.0,0.4,23494,1662,0.4,0.1,28027,6980,3.7,0.2,39162,5025,0.2,0.2,15537,12336,1.6,0.5,15808,2992,2.7,0.4,12450,2157,9.2,*****,18042,1501,62.7,0.1,36766,895,35.7,(X),(X),(X),37.3,(X),(X),(X),28.9,(X),(X),(X)
0400000US11,11,District of Columbia,281241,3152,114432,4518,80.4,1.1,119777,4297,24.6,1.1,29124,5501,20.0,0.8,15926,703,5.4,0.7,9329,687,3.9,0.6,3420,808,13.8,0.8,45565,5581,122732,3407,148208,8228,12.7,1.4,57101,15322,33.3,2.2,99887,7647,37.0,2.1,230462,13822,11.0,1.6,96039,15309,3.3,0.8,226507,57295,2.7,0.7,160583,67971,681170,*****,50567,1813,40.7,0.5,78171,2925,47.1,0.4,29445,2049,0.3,0.1,17894,9598,3.9,0.2,61870,9750,0.0,0.1,N,N,5.5,0.6,25664,4998,2.6,0.3,39893,7194,10.9,*****,35165,3441,36.3,0.1,82061,3188,33.6,(X),(X),(X),36.4,(X),(X),(X),31.7,(X),(X),(X)
