id,state,abbrev,physically_active,binge_drink,smoke,own_home,age_25_34,median_income,poverty,unemployed_greater_year
1,Alabama,AL,72.4,12,21.1,72.3,12.7,42830,19.3,3.2
2,Alaska,AK,80.8,20.2,19.9,67.5,15.5,71583,11.2,2.7
3,Arizona,AZ,78.8,14.9,16.5,66.4,13.3,50068,18.2,3.1
4,Arkansas,AR,69.4,13.3,24.7,69.4,12.7,41262,18.9,3.7
5,California,CA,78.3,15.6,12.9,58,14.7,61933,16.4,4
6,Colorado,CO,83.6,17.5,15.7,67.7,14.9,61303,12,2.4
7,Connecticut,CT,79.4,15.9,15.4,70.5,12.2,70048,10.8,3.4
8,Delaware,DE,75.1,15.7,19.9,74.3,13,59716,12.5,2.7
9,District of Columbia,DC,79.2,24.9,16.4,44.8,22.8,71648,17.7,4.1
10,Florida,FL,76.3,15,17.7,68.7,12.6,47463,16.5,3.5
11,Georgia,GA,76.4,14.2,17.4,67.3,13.6,49321,18.3,4.3
12,Hawaii,HI,80.4,19.7,14.1,62.3,14.8,69592,11.4,2.7
13,Idaho,ID,81.3,14.8,15.9,71.7,12.9,47861,14.8,1.9
14,Illinois,IL,76.1,20.2,16.5,70.6,13.8,57444,14.4,2.8
15,Indiana,IN,73.9,14.8,22.9,73.2,12.8,49446,15.2,2.3
16,Iowa,IA,77.4,21.4,18.5,74.6,12.6,53712,12.2,1.7
17,Kansas,KS,76.2,15.8,18.1,70.6,13.3,52504,13.6,2
18,Kentucky,KY,71.8,12.7,26.2,71.3,12.8,42958,19.1,3.1
19,Louisiana,LA,70.5,16,24,70.4,14.2,44555,19.8,4.1
20,Maine,ME,80.3,17,19.3,75.2,11.5,49462,14.1,2.3
21,Maryland,MD,78.6,15.4,14.6,70.7,13.8,73971,10.1,3.3
22,Massachusetts,MA,79.9,17.4,14.7,65.9,13.7,69160,11.6,2.8
23,Michigan,MI,74.5,18.9,21.2,75.2,12.1,49847,16.2,3.2
24,Minnesota,MN,79.8,19.5,16.3,75.7,13.7,61481,11.5,2.1
25,Mississippi,MS,68.4,12.8,23,71.9,12.8,39680,21.5,4.7
26,Missouri,MO,75,15.1,20.6,71.7,13.1,48363,15.5,2.1
27,Montana,MT,80.4,18.9,19.9,71.1,12.6,46328,15.4,2.2
28,Nebraska,NE,78.7,20.3,17.3,70.5,13.6,52686,12.4,1.5
29,Nevada,NV,77.5,16,17,59.5,14.3,51450,15.2,4.1
30,New Hampshire,NH,80.7,16.8,17.5,75.3,11.7,66532,9.2,2.5
31,New Jersey,NJ,76.7,15.8,15.1,68.3,12.9,71919,11.1,4
32,New Mexico,NM,76.7,13.7,19.2,72,13.2,44803,21.3,3.3
33,New York,NY,74.1,15,14.4,57.3,14.4,58878,15.9,4
34,North Carolina,NC,76.8,13.6,19.1,68.7,12.9,46556,17.2,3.3
35,North Dakota,ND,78.7,24,19.9,69,14.6,59029,11.5,0.9
36,Ohio,OH,75.1,18.1,21,70.9,12.6,49308,15.8,2.8
37,Oklahoma,OK,71.7,12.9,21.1,69.9,13.6,47529,16.6,2.2
38,Oregon,OR,83.5,16.6,17,64.2,13.6,51075,16.6,3.5
39,Pennsylvania,PA,76.7,16.7,19.9,73.5,12.8,53234,13.6,2.5
40,Rhode Island,RI,77.5,18.4,16.3,64.6,13,54891,14.3,3.8
41,South Carolina,SC,74.7,14.1,21.5,71.1,12.8,45238,18,4.1
42,South Dakota,SD,78.8,17.4,18.6,70.6,13.1,50979,14.2,1.1
43,Tennessee,TN,73.2,10.6,24.2,70.6,13.1,44361,18.3,3.3
44,Texas,TX,72.4,16.3,14.5,67,14.4,53035,17.2,2.3
45,Utah,UT,83.2,11.4,9.7,72.1,14.9,60922,11.7,1.9
46,Vermont,VT,81,17.9,16.4,74.2,11.7,54166,12.2,1.8
47,Virginia,VA,76.5,15.2,19.5,69.6,14,64902,11.8,3.3
48,Washington,WA,81.9,17.1,15.3,66.3,14.4,61366,13.2,2.7
49,West Virginia,WV,71.3,9.6,26.7,76.4,11.9,41059,18.3,2.9
50,Wisconsin,WI,78.8,22.1,17.4,71.1,12.7,52622,13.2,2.1
51,Wyoming,WY,77.9,17.2,19.5,71.9,14.3,57055,11.2,2
52,Puerto Rico,PR,59.4,13.2,11.3,71,12.1,18928,46.2,7.4
